tf,target,weight,importance,interaction,edge_color,edge_width
ZFHX2,BRSK1,0.11340457201004028,0.11340457201004028,activation,#00FF00,0.5710833304118015
SYPL1,BRSK2,-0.15514026582241058,0.15514026582241058,repression,#FF0000,0.7812561532262596
GSG1L,BRSK2,0.126286581158638,0.126286581158638,activation,#00FF00,0.6359546187256903
IGSF9B,BRSK2,0.11801556497812271,0.11801556497812271,activation,#00FF00,0.5943033926548368
KMT2C,BRWD1,0.19107766449451447,0.19107766449451447,activation,#00FF00,0.9622298913766467
ITGB1,BRWD1,-0.11131004989147186,0.11131004989147186,repression,#FF0000,0.5605357250913799
HMGN1,BRWD1,0.11085980385541916,0.11085980385541916,activation,#00FF00,0.5582683737737371
GSG1L,BRWD1-IT2,0.1407633125782013,0.1407633125782013,activation,#00FF00,0.7088566177017934
FOXJ1,BRWD1-IT2,0.10037057101726532,0.10037057101726532,activation,#00FF00,0.5054466407826952
CCT7,BRWD1-IT2,-0.0923851802945137,0.0923851802945137,repression,#FF0000,0.5
SLC25A5,BRWD3,0.17004409432411194,0.17004409432411194,activation,#00FF00,0.8563089298981241
PSMD10,BRWD3,0.11275340616703033,0.11275340616703033,activation,#00FF00,0.5678041860908511
RPS27A,BRWD3,0.10938099771738052,0.10938099771738052,activation,#00FF00,0.5508213941733929
RBBP4,BSDC1,0.8013379573822021,0.8013379573822021,activation,#00FF00,4.035381831401841
SH3BP5L,BSDC1,0.20890925824642181,0.20890925824642181,activation,#00FF00,1.0520263234419072
